✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/baseline
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/baseline/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_162444/baseline
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
[17:21:44] Time: 4s | Total Latency: 668.00 ms | Throughput: 0.00 records/s
[17:22:49] Time: 68s | Total Latency: 15414.00 ms | Throughput: 150890.27 records/s
[17:22:51] Time: 70s | Total Latency: 15664.00 ms | Throughput: 145682.07 records/s
[17:22:53] Time: 72s | Total Latency: 15664.00 ms | Throughput: 145682.07 records/s
[17:22:55] Time: 74s | Total Latency: 14462.00 ms | Throughput: 142211.30 records/s
[17:22:57] Time: 76s | Total Latency: 14462.00 ms | Throughput: 142211.30 records/s
[17:22:59] Time: 78s | Total Latency: 16037.00 ms | Throughput: 143066.00 records/s
[17:23:01] Time: 80s | Total Latency: 16037.00 ms | Throughput: 142084.30 records/s
[17:23:03] Time: 82s | Total Latency: 16037.00 ms | Throughput: 142084.30 records/s
[17:23:05] Time: 84s | Total Latency: 18379.00 ms | Throughput: 142233.30 records/s
[17:23:07] Time: 86s | Total Latency: 18379.00 ms | Throughput: 142233.30 records/s
[17:23:09] Time: 88s | Total Latency: 19940.00 ms | Throughput: 146520.20 records/s
[17:23:11] Time: 90s | Total Latency: 19940.00 ms | Throughput: 149165.10 records/s
[17:23:13] Time: 92s | Total Latency: 19940.00 ms | Throughput: 149165.10 records/s
[17:23:15] Time: 94s | Total Latency: 23080.00 ms | Throughput: 147221.87 records/s
[17:23:17] Time: 96s | Total Latency: 23080.00 ms | Throughput: 147221.87 records/s
[17:23:19] Time: 98s | Total Latency: 21496.00 ms | Throughput: 146174.00 records/s
[17:23:21] Time: 100s | Total Latency: 21609.00 ms | Throughput: 146862.90 records/s
[17:23:23] Time: 102s | Total Latency: 21609.00 ms | Throughput: 146862.90 records/s
[17:23:25] Time: 104s | Total Latency: 20911.00 ms | Throughput: 142984.13 records/s
[17:23:27] Time: 106s | Total Latency: 20911.00 ms | Throughput: 142984.13 records/s
[17:23:29] Time: 108s | Total Latency: 22102.00 ms | Throughput: 142715.30 records/s
[17:23:31] Time: 110s | Total Latency: 22102.00 ms | Throughput: 143713.13 records/s
[17:23:33] Time: 112s | Total Latency: 22102.00 ms | Throughput: 143713.13 records/s
[17:23:35] Time: 114s | Total Latency: 23157.00 ms | Throughput: 143000.47 records/s
[17:23:37] Time: 116s | Total Latency: 23157.00 ms | Throughput: 143000.47 records/s
[17:23:39] Time: 118s | Total Latency: 23901.00 ms | Throughput: 144223.43 records/s
[17:23:41] Time: 120s | Total Latency: 23901.00 ms | Throughput: 142528.40 records/s
[17:23:43] Time: 122s | Total Latency: 23901.00 ms | Throughput: 142528.40 records/s
[17:23:45] Time: 124s | Total Latency: 24832.00 ms | Throughput: 140364.13 records/s
[17:23:47] Time: 126s | Total Latency: 24832.00 ms | Throughput: 140364.13 records/s
[17:23:49] Time: 128s | Total Latency: 27708.00 ms | Throughput: 140996.00 records/s
[17:23:51] Time: 130s | Total Latency: 27708.00 ms | Throughput: 140764.97 records/s
[17:23:53] Time: 132s | Total Latency: 27708.00 ms | Throughput: 140764.97 records/s
[17:23:55] Time: 134s | Total Latency: 30515.00 ms | Throughput: 146216.30 records/s
[17:23:57] Time: 136s | Total Latency: 30515.00 ms | Throughput: 146216.30 records/s
[17:23:59] Time: 138s | Total Latency: 31023.00 ms | Throughput: 144496.67 records/s
[17:24:01] Time: 140s | Total Latency: 31023.00 ms | Throughput: 144444.13 records/s
[17:24:03] Time: 142s | Total Latency: 31023.00 ms | Throughput: 144444.13 records/s
[17:24:05] Time: 144s | Total Latency: 30143.00 ms | Throughput: 144491.13 records/s
[17:24:07] Time: 146s | Total Latency: 30143.00 ms | Throughput: 144491.13 records/s
[17:24:09] Time: 148s | Total Latency: 29388.00 ms | Throughput: 141553.53 records/s
[17:24:11] Time: 150s | Total Latency: 29388.00 ms | Throughput: 140248.90 records/s
[17:24:13] Time: 152s | Total Latency: 29388.00 ms | Throughput: 140248.90 records/s
[17:24:15] Time: 154s | Total Latency: 30984.00 ms | Throughput: 144768.43 records/s
[17:24:17] Time: 156s | Total Latency: 30984.00 ms | Throughput: 144768.43 records/s
[17:24:19] Time: 158s | Total Latency: 32331.00 ms | Throughput: 144536.83 records/s
[17:24:21] Time: 160s | Total Latency: 32331.00 ms | Throughput: 144065.43 records/s
[17:24:23] Time: 162s | Total Latency: 32331.00 ms | Throughput: 144065.43 records/s
[17:24:25] Time: 164s | Total Latency: 35291.00 ms | Throughput: 147230.33 records/s
[17:24:27] Time: 166s | Total Latency: 35291.00 ms | Throughput: 147230.33 records/s
[17:24:29] Time: 168s | Total Latency: 37752.00 ms | Throughput: 147830.53 records/s
[17:24:31] Time: 170s | Total Latency: 37956.00 ms | Throughput: 147795.97 records/s
[17:24:33] Time: 172s | Total Latency: 37956.00 ms | Throughput: 147795.97 records/s
[17:24:35] Time: 174s | Total Latency: 37783.00 ms | Throughput: 146877.50 records/s
[17:24:37] Time: 176s | Total Latency: 37783.00 ms | Throughput: 146877.50 records/s
[17:24:39] Time: 178s | Total Latency: 36921.00 ms | Throughput: 146459.33 records/s
[17:24:41] Time: 180s | Total Latency: 36921.00 ms | Throughput: 146835.33 records/s
[17:24:43] Time: 182s | Total Latency: 36921.00 ms | Throughput: 146835.33 records/s
[17:24:45] Time: 184s | Total Latency: 36255.00 ms | Throughput: 148046.67 records/s
[17:24:47] Time: 186s | Total Latency: 36255.00 ms | Throughput: 148046.67 records/s
[17:24:49] Time: 188s | Total Latency: 38334.00 ms | Throughput: 149967.73 records/s
[17:24:51] Time: 190s | Total Latency: 38334.00 ms | Throughput: 149272.17 records/s
[17:24:53] Time: 192s | Total Latency: 38334.00 ms | Throughput: 149272.17 records/s
[17:24:55] Time: 194s | Total Latency: 39544.00 ms | Throughput: 150572.17 records/s
[17:24:57] Time: 196s | Total Latency: 39544.00 ms | Throughput: 150572.17 records/s
[17:24:59] Time: 198s | Total Latency: 40226.00 ms | Throughput: 152004.23 records/s
[17:25:01] Time: 200s | Total Latency: 40226.00 ms | Throughput: 149849.63 records/s
[17:25:03] Time: 202s | Total Latency: 40226.00 ms | Throughput: 149849.63 records/s
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
[17:25:15] Time: 214s | Total Latency: 47044.00 ms | Throughput: 0.00 records/s
[17:25:17] Time: 216s | Total Latency: 47044.00 ms | Throughput: 0.00 records/s
[17:25:19] Time: 218s | Total Latency: 50472.00 ms | Throughput: 14306.80 records/s
[17:25:21] Time: 220s | Total Latency: 50472.00 ms | Throughput: 19195.50 records/s
[17:25:23] Time: 222s | Total Latency: 50472.00 ms | Throughput: 19195.50 records/s
[17:25:25] Time: 224s | Total Latency: 49867.00 ms | Throughput: 40461.17 records/s
[17:25:27] Time: 226s | Total Latency: 49867.00 ms | Throughput: 40461.17 records/s
[17:25:29] Time: 228s | Total Latency: 48983.00 ms | Throughput: 57242.70 records/s
[17:25:31] Time: 230s | Total Latency: 48983.00 ms | Throughput: 63395.13 records/s
[17:25:33] Time: 232s | Total Latency: 48983.00 ms | Throughput: 63395.13 records/s
[17:25:35] Time: 234s | Total Latency: 48522.00 ms | Throughput: 76647.90 records/s
[17:25:37] Time: 236s | Total Latency: 48522.00 ms | Throughput: 76647.90 records/s
[17:25:39] Time: 238s | Total Latency: 46844.00 ms | Throughput: 86573.77 records/s
[17:25:41] Time: 240s | Total Latency: 46844.00 ms | Throughput: 88461.53 records/s
[17:25:43] Time: 242s | Total Latency: 46844.00 ms | Throughput: 88461.53 records/s
[17:25:45] Time: 245s | Total Latency: 46624.00 ms | Throughput: 103081.93 records/s
[17:25:47] Time: 247s | Total Latency: 46624.00 ms | Throughput: 103081.93 records/s
[17:25:49] Time: 249s | Total Latency: 43932.00 ms | Throughput: 111891.87 records/s
[17:25:51] Time: 251s | Total Latency: 43932.00 ms | Throughput: 116670.27 records/s
[17:25:53] Time: 253s | Total Latency: 43932.00 ms | Throughput: 116670.27 records/s
[17:25:55] Time: 255s | Total Latency: 45042.00 ms | Throughput: 133668.10 records/s
[17:25:58] Time: 257s | Total Latency: 45042.00 ms | Throughput: 133668.10 records/s
[17:26:00] Time: 259s | Total Latency: 43795.00 ms | Throughput: 145650.70 records/s
[17:26:02] Time: 261s | Total Latency: 43795.00 ms | Throughput: 145650.70 records/s
[17:26:04] Time: 263s | Total Latency: 43795.00 ms | Throughput: 145650.70 records/s
[17:26:06] Time: 265s | Total Latency: 43426.00 ms | Throughput: 161613.43 records/s
[17:26:08] Time: 267s | Total Latency: 43426.00 ms | Throughput: 161613.43 records/s
[17:26:10] Time: 269s | Total Latency: 41409.00 ms | Throughput: 175515.63 records/s
[17:26:12] Time: 271s | Total Latency: 41409.00 ms | Throughput: 175515.63 records/s
[17:26:14] Time: 273s | Total Latency: 41409.00 ms | Throughput: 175515.63 records/s
[17:26:16] Time: 275s | Total Latency: 40679.00 ms | Throughput: 180727.40 records/s
[17:26:18] Time: 277s | Total Latency: 40679.00 ms | Throughput: 180727.40 records/s
[17:26:20] Time: 279s | Total Latency: 41331.00 ms | Throughput: 181798.07 records/s
[17:26:22] Time: 281s | Total Latency: 41331.00 ms | Throughput: 181798.07 records/s
[17:26:24] Time: 283s | Total Latency: 41331.00 ms | Throughput: 181798.07 records/s
[17:26:26] Time: 285s | Total Latency: 39370.00 ms | Throughput: 177677.47 records/s
[17:26:28] Time: 287s | Total Latency: 39370.00 ms | Throughput: 177677.47 records/s
[17:26:30] Time: 289s | Total Latency: 40977.00 ms | Throughput: 172827.30 records/s
[17:26:32] Time: 291s | Total Latency: 40977.00 ms | Throughput: 172827.30 records/s
[17:26:34] Time: 293s | Total Latency: 40977.00 ms | Throughput: 172827.30 records/s
[17:26:36] Time: 295s | Total Latency: 40356.00 ms | Throughput: 173365.67 records/s
[17:26:38] Time: 297s | Total Latency: 40356.00 ms | Throughput: 173365.67 records/s
[17:26:40] Time: 299s | Total Latency: 37232.00 ms | Throughput: 170626.47 records/s
[17:26:42] Time: 301s | Total Latency: 37232.00 ms | Throughput: 170626.47 records/s
[17:26:44] Time: 303s | Total Latency: 37232.00 ms | Throughput: 170626.47 records/s
[17:26:46] Time: 305s | Total Latency: 38907.00 ms | Throughput: 170138.57 records/s
[17:26:48] Time: 307s | Total Latency: 38907.00 ms | Throughput: 170138.57 records/s
[17:26:50] Time: 309s | Total Latency: 36365.00 ms | Throughput: 172725.23 records/s
[17:26:52] Time: 311s | Total Latency: 36365.00 ms | Throughput: 172725.23 records/s
[17:26:54] Time: 313s | Total Latency: 37875.00 ms | Throughput: 174992.27 records/s
[17:26:56] Time: 315s | Total Latency: 37875.00 ms | Throughput: 175227.70 records/s
[17:26:58] Time: 317s | Total Latency: 37875.00 ms | Throughput: 175227.70 records/s
[17:27:00] Time: 319s | Total Latency: 37547.00 ms | Throughput: 174618.43 records/s
[17:27:02] Time: 321s | Total Latency: 37547.00 ms | Throughput: 174618.43 records/s
[17:27:04] Time: 323s | Total Latency: 36058.00 ms | Throughput: 171609.27 records/s
[17:27:06] Time: 325s | Total Latency: 36058.00 ms | Throughput: 170318.77 records/s
[17:27:08] Time: 327s | Total Latency: 36058.00 ms | Throughput: 170318.77 records/s
[17:27:10] Time: 329s | Total Latency: 35734.00 ms | Throughput: 171705.37 records/s
[17:27:12] Time: 331s | Total Latency: 35734.00 ms | Throughput: 171705.37 records/s
[17:27:14] Time: 333s | Total Latency: 33725.00 ms | Throughput: 175776.43 records/s
[17:27:16] Time: 335s | Total Latency: 33725.00 ms | Throughput: 178550.67 records/s
[17:27:18] Time: 337s | Total Latency: 33725.00 ms | Throughput: 178550.67 records/s
[17:27:20] Time: 339s | Total Latency: 34650.00 ms | Throughput: 178162.03 records/s
[17:27:22] Time: 341s | Total Latency: 34650.00 ms | Throughput: 178162.03 records/s
[17:27:24] Time: 343s | Total Latency: 35114.00 ms | Throughput: 176796.30 records/s
[17:27:26] Time: 345s | Total Latency: 35114.00 ms | Throughput: 178301.13 records/s
[17:27:28] Time: 347s | Total Latency: 35114.00 ms | Throughput: 178301.13 records/s
[17:27:30] Time: 349s | Total Latency: 35648.00 ms | Throughput: 172259.43 records/s
[17:27:32] Time: 351s | Total Latency: 35648.00 ms | Throughput: 172259.43 records/s
[17:27:34] Time: 353s | Total Latency: 33279.00 ms | Throughput: 170356.67 records/s
[17:27:36] Time: 355s | Total Latency: 33279.00 ms | Throughput: 171173.30 records/s
[17:27:38] Time: 357s | Total Latency: 33279.00 ms | Throughput: 171173.30 records/s
[17:27:40] Time: 359s | Total Latency: 31263.00 ms | Throughput: 176545.23 records/s
[17:27:42] Time: 361s | Total Latency: 31263.00 ms | Throughput: 176545.23 records/s
[17:27:44] Time: 363s | Total Latency: 31549.00 ms | Throughput: 177384.60 records/s
[17:27:46] Time: 365s | Total Latency: 31549.00 ms | Throughput: 179174.40 records/s
[17:27:48] Time: 367s | Total Latency: 31549.00 ms | Throughput: 179174.40 records/s
[17:27:50] Time: 369s | Total Latency: 31342.00 ms | Throughput: 178639.03 records/s
[17:27:52] Time: 371s | Total Latency: 31342.00 ms | Throughput: 178639.03 records/s
[17:27:54] Time: 373s | Total Latency: 31135.00 ms | Throughput: 171287.47 records/s
[17:27:56] Time: 375s | Total Latency: 31135.00 ms | Throughput: 170088.23 records/s
[17:27:58] Time: 377s | Total Latency: 31135.00 ms | Throughput: 170088.23 records/s
[17:28:00] Time: 379s | Total Latency: 29022.00 ms | Throughput: 172869.77 records/s
[17:28:02] Time: 381s | Total Latency: 29022.00 ms | Throughput: 172869.77 records/s
[17:28:04] Time: 383s | Total Latency: 26968.00 ms | Throughput: 171854.87 records/s
[17:28:06] Time: 385s | Total Latency: 26968.00 ms | Throughput: 173095.87 records/s
